Quarter,Time,Down,ToGo,Location,Away,Home,Detail,EPB,EPA,field_side,yardline,play_start_time,Play_Type,posession,Yardage,away,home,possession,game_id
3,8:59,1,10,BUF 25,,,James Cook left tackle for -1 yards (tackle by Jermaine Johnson and Quinnen Williams),0.610,-0.070,BUF,25.0,36.01666666666666,Run,,-1.0,13,6,NYJ,1.0
3,8:19,2,11,BUF 24,,,Josh Allen pass complete short left to Dawson Knox for 15 yards (tackle by Tony Adams),-0.070,1.530,BUF,24.0,36.68333333333332,Pass,,15.0,13,6,BUF,1.0
3,7:35,1,10,BUF 39,,,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by D.J. Reed and Tony Adams),1.530,2.200,BUF,39.0,37.41666666666666,Pass,,9.0,13,6,BUF,1.0
3,6:56,2,1,BUF 48,,,James Cook left end for 3 yards (tackle by D.J. Reed),2.200,2.320,BUF,48.0,38.066666666666656,Run,,3.0,13,6,BUF,1.0
3,6:23,1,10,NYJ 49,,,Josh Allen pass complete short right to James Cook for 3 yards (tackle by Jamien Sherwood),2.320,2.190,NYJ,49.0,38.61666666666665,Pass,,3.0,13,6,BUF,1.0
3,5:40,2,7,NYJ 46,,,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Jordan Whitehead),2.190,3.050,NYJ,46.0,39.33333333333332,Pass,,8.0,13,6,BUF,1.0
3,5:00,1,10,NYJ 38,,,Josh Allen sacked by Quinton Jefferson for -3 yards,3.050,2.100,NYJ,38.0,39.999999999999986,Run,,-3.0,13,6,BUF,1.0
3,4:12,2,13,NYJ 41,,,Josh Allen pass deep middle intended for Stefon Diggs is intercepted by Jordan Whitehead in end zone and returned for no gain,2.100,-0.280,NYJ,41.0,40.79999999999998,Pass,,-6.0,13,6,BUF,1.0
3,3:30,1,10,NYJ 35,,,Zach Wilson pass complete short right to Garrett Wilson for -2 yards (tackle by Tre'Davious White),1.270,0.450,NYJ,35.0,41.499999999999986,Pass,,-2.0,13,6,NYJ,1.0
3,2:52,2,12,NYJ 33,,,Zach Wilson pass incomplete short right intended for Allen Lazard,0.450,-0.230,NYJ,33.0,42.13333333333332,Pass,,0.0,13,6,NYJ,1.0
3,2:49,3,12,NYJ 33,,,"Zach Wilson pass complete short middle to Michael Carter for 6 yards (tackle by Micah Hyde and Terrel Bernard). Penalty on Mekhi Becton: Offensive Holding, 10 yards (declined) ",-0.230,-0.780,NYJ,33.0,42.183333333333316,Pass,,6.0,13,6,NYJ,1.0
3,2:18,4,6,NYJ 39,,,"Thomas Morstead punts 50 yards, returned by Deonte Harty for 4 yards (tackle by Jamien Sherwood)",-0.780,0.220,NYJ,39.0,42.69999999999998,Special Teams,,0.0,13,6,NYJ,1.0
